from_en,to_en,km
Al-Aflaj,Tabarjal,1414.7
Al-Aflaj,Diriyah,304
Al-Aflaj,Al-Muzahmiyya,327.9
Al-Aflaj,Al-Hariq,186.2
Al-Aflaj,Marat,430.6
Al-Aflaj,Huraymila,378.2
Al-Aflaj,Thadig,441
Al-Aflaj,Al-Ghat,534.6
Al-Aflaj,Dhurma,339.7
Al-Aflaj,Al-Rayn,299.4
Al-Aflaj,Rimah,410.3
Al-Aflaj,Bahrah,1051.6
Al-Aflaj,Al-Kamil,1160.8
Al-Aflaj,Al-Muwayh,864.9
Al-Aflaj,Adam,852
Al-Aflaj,Wadi Al-Faraa,1265.3
Al-Aflaj,Al-Badai,650.4
Al-Aflaj,Al-Nabhaniyah,740.8
Al-Aflaj,Uyun Al-Jiwa,675
Al-Aflaj,Dhariyah,818.8
Al-Aflaj,Uqlat Al-Suqur,835.6
Al-Aflaj,Al-Shimasiyah,667.7
Al-Aflaj,Qaryat Al-Ulya,671.6
Al-Aflaj,Al-Majaridah,826.8
Al-Aflaj,Al-Namas,808.4
Al-Aflaj,Tanomah,793
Al-Aflaj,Al-Birk,919.6
Al-Aflaj,Bariq,862.8
Al-Aflaj,Al-Bid,1865.3
Al-Aflaj,Al-Shamli,1129.2
Al-Aflaj,Sumairah,1008.7
Al-Aflaj,Mawqaq,1000.5
Al-Aflaj,Al-Hait,1054.4
Al-Aflaj,Ahad Al-Masarihah,958.6
Al-Aflaj,Al-Darb,814.6
Al-Aflaj,Fayfa,952.5
Al-Aflaj,Al-Eidabi,946.9
Al-Aflaj,Al-Dayer,892.8
Al-Aflaj,Thar,759.9
Al-Aflaj,Badr Al-Janub,670.3
Al-Aflaj,Al-Qura,828.7
Al Majmaah,Riyadh,194.7
Al Majmaah,Al-Kharj,288
Al Majmaah,Al-Aflaj,484.5
Al Majmaah,Al Duwadimi,210.1
Al Majmaah,Afif,379.8
Al Majmaah,Wadi Al-Dawasir,812.9
Al Majmaah,Al-Zilfi,81.5
Al Majmaah,Shaqra,91.8
